seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	860270	860419	150	*	X00010	148398	860530	879961	19432	+	110	upstream	110	SAMD11
chr1	900275	900322	48	*	X00023	84069	901877	910484	8608	+	1554	upstream	1554	PLEKHN1
chr1	900929	901048	120	*	X00024	84069	901877	910484	8608	+	828	upstream	828	PLEKHN1
chr1	900929	901048	120	*	X00025	84069	901877	910484	8608	+	828	upstream	828	PLEKHN1
chr1	901154	901408	255	*	X00026	84069	901877	910484	8608	+	468	upstream	468	PLEKHN1
chr1	901154	901408	255	*	X00027	84069	901877	910484	8608	+	468	upstream	468	PLEKHN1
chr1	936696	936994	299	*	X00043	57801	934342	935552	1211	-	1143	upstream	1143	HES4
chr1	948638	948682	45	*	X00051	9636	948847	949919	1073	+	164	upstream	164	ISG15
chr1	1009773	1009907	135	*	X00100	401934	1007126	1009687	2562	-	85	upstream	85	RNF223
chr1	1009773	1009907	135	*	X00101	401934	1007126	1009687	2562	-	85	upstream	85	RNF223
chr1	1009911	1010120	210	*	X00102	401934	1007126	1009687	2562	-	223	upstream	223	RNF223
chr1	1009911	1010120	210	*	X00103	401934	1007126	1009687	2562	-	223	upstream	223	RNF223
chr1	1010703	1010792	90	*	X00104	401934	1007126	1009687	2562	-	1015	upstream	1015	RNF223
chr1	1011018	1011133	116	*	X00105	401934	1007126	1009687	2562	-	1330	upstream	1330	RNF223
chr1	1071832	1071923	92	*	X00116	254099	1072397	1079434	7038	+	473	upstream	473	LINC01342
chr1	1071984	1072118	135	*	X00117	254099	1072397	1079434	7038	+	278	upstream	278	LINC01342
chr1	1072404	1072505	102	*	X00118	254099	1072397	1079434	7038	+	0	inside	6	LINC01342
chr1	1100535	1100684	150	*	X00138	406984	1102484	1102578	95	+	1799	upstream	1799	MIR200B
chr1	1100606	1100684	79	*	X00139	406984	1102484	1102578	95	+	1799	upstream	1799	MIR200B
chr1	1101390	1101494	105	*	X00140	406984	1102484	1102578	95	+	989	upstream	989	MIR200B
chr1	1101390	1101494	105	*	X00140	406983	1103243	1103332	90	+	1748	upstream	1748	MIR200A
chr1	1101390	1101494	105	*	X00141	406984	1102484	1102578	95	+	989	upstream	989	MIR200B
chr1	1101390	1101494	105	*	X00141	406983	1103243	1103332	90	+	1748	upstream	1748	MIR200A
chr1	1101540	1101704	165	*	X00142	406984	1102484	1102578	95	+	779	upstream	779	MIR200B
chr1	1101540	1101704	165	*	X00142	406983	1103243	1103332	90	+	1538	upstream	1538	MIR200A
chr1	1143532	1143651	120	*	X00148	8784	1138888	1142089	3202	-	1442	upstream	1442	TNFRSF18
chr1	1143628	1143651	24	*	X00149	8784	1138888	1142089	3202	-	1538	upstream	1538	TNFRSF18
chr1	1144013	1144244	232	*	X00150	8784	1138888	1142089	3202	-	1923	upstream	1923	TNFRSF18
chr1	1144013	1144154	142	*	X00151	8784	1138888	1142089	3202	-	1923	upstream	1923	TNFRSF18
chr1	1209575	1209599	25	*	X00158	118424	1189292	1209234	19943	-	340	upstream	340	UBE2J2
chr1	1209863	1209967	105	*	X00159	118424	1189292	1209234	19943	-	628	upstream	628	UBE2J2
chr1	1209883	1209967	85	*	X00160	118424	1189292	1209234	19943	-	648	upstream	648	UBE2J2
chr1	1210545	1210694	150	*	X00161	118424	1189292	1209234	19943	-	1310	upstream	1310	UBE2J2
chr1	1242550	1242654	105	*	X00174	126789	1243994	1247057	3064	+	1339	upstream	1339	PUSL1
chr1	1244950	1245054	105	*	X00175	116983	1227764	1244989	17226	-	0	overlapStart	0	ACAP3
chr1	1246082	1246151	70	*	X00176	116983	1227764	1244989	17226	-	1092	upstream	1092	ACAP3
chr1	1259231	1259257	27	*	X00180	80772	1260143	1264276	4134	+	885	upstream	885	CPTP
chr1	1259231	1259234	4	*	X00181	80772	1260143	1264276	4134	+	908	upstream	908	CPTP
chr1	1261615	1261705	91	*	X00182	54973	1246965	1260067	13103	-	1547	upstream	1547	INTS11
chr1	1296788	1296907	120	*	X00210	54587	1288071	1297157	9087	-	0	inside	249	MXRA8
chr1	1335755	1335874	120	*	X00214	81669	1321091	1334718	13628	-	1036	upstream	1036	CCNL2
chr1	1357245	1357269	25	*	X00216	441869	1353800	1356824	3025	-	420	upstream	420	ANKRD65
chr1	1357332	1357683	352	*	X00217	441869	1353800	1356824	3025	-	507	upstream	507	ANKRD65
chr1	1357606	1357683	78	*	X00218	441869	1353800	1356824	3025	-	781	upstream	781	ANKRD65
chr1	1361070	1361249	180	*	X00219	643965	1361508	1363167	1660	+	258	upstream	258	TMEM88B
chr1	1361310	1361639	330	*	X00220	643965	1361508	1363167	1660	+	0	overlapStart	0	TMEM88B
chr1	1361341	1361639	299	*	X00221	643965	1361508	1363167	1660	+	0	overlapStart	0	TMEM88B
chr1	1369462	1369596	135	*	X00232	64856	1370903	1378262	7360	+	1306	upstream	1306	VWA1
chr1	1369462	1369596	135	*	X00233	64856	1370903	1378262	7360	+	1306	upstream	1306	VWA1
chr1	1370107	1370226	120	*	X00234	64856	1370903	1378262	7360	+	676	upstream	676	VWA1
chr1	1370107	1370226	120	*	X00235	64856	1370903	1378262	7360	+	676	upstream	676	VWA1
chr1	1405983	1406102	120	*	X00238	83858	1407164	1444689	37526	+	1061	upstream	1061	ATAD3B
chr1	1405983	1406102	120	*	X00239	83858	1407164	1444689	37526	+	1061	upstream	1061	ATAD3B
chr1	1406307	1406416	110	*	X00240	83858	1407164	1444689	37526	+	747	upstream	747	ATAD3B
chr1	1535722	1535729	8	*	X00246	643988	1533388	1535476	2089	-	245	upstream	245	FNDC10
chr1	1823165	1823299	135	*	X00267	2782	1716725	1822526	105802	-	638	upstream	638	GNB1
chr1	1850983	1851119	137	*	X00271	339456	1849029	1850740	1712	-	242	upstream	242	TMEM52
chr1	1935072	1935151	80	*	X00276	85452	1884752	1935276	50525	-	0	inside	124	CFAP74
chr1	1950208	1950283	76	*	X00277	2563	1950768	1962192	11425	+	484	upstream	484	GABRD
chr1	1981357	1981416	60	*	X00279	5590	1981909	2116834	134926	+	492	upstream	492	PRKCZ
chr1	2140486	2140676	191	*	X00301	199990	2115899	2139172	23274	-	1313	upstream	1313	FAAP20
chr1	2140486	2140538	53	*	X00302	199990	2115899	2139172	23274	-	1313	upstream	1313	FAAP20
chr1	2344909	2345028	120	*	X00326	5192	2336241	2344010	7770	-	898	upstream	898	PEX10
chr1	2564533	2564637	105	*	X00368	79258	2522081	2564481	42401	-	51	upstream	51	MMEL1
chr1	2564848	2564881	34	*	X00369	79258	2522081	2564481	42401	-	366	upstream	366	MMEL1
chr1	3528327	3528357	31	*	X00435	1953	3404506	3528059	123554	-	267	upstream	267	MEGF6
chr1	3688852	3688941	90	*	X00448	388588	3689334	3692546	3213	+	392	upstream	392	SMIM1
chr1	3688852	3688909	58	*	X00449	388588	3689334	3692546	3213	+	424	upstream	424	SMIM1
chr1	3688950	3689040	91	*	X00450	388588	3689334	3692546	3213	+	293	upstream	293	SMIM1
chr1	3774524	3774566	43	*	X00453	9731	3728645	3773797	45153	-	726	upstream	726	CEP104
chr1	3817535	3817573	39	*	X00454	339448	3805697	3816857	11161	-	677	upstream	677	C1orf174
chr1	3817724	3817858	135	*	X00455	339448	3805697	3816857	11161	-	866	upstream	866	C1orf174
chr1	6051104	6051223	120	*	X00468	8514	6052358	6161253	108896	+	1134	upstream	1134	KCNAB2
chr1	6051104	6051223	120	*	X00469	8514	6052358	6161253	108896	+	1134	upstream	1134	KCNAB2
chr1	6053302	6053358	57	*	X00470	261734	5922870	6052533	129664	-	768	upstream	768	NPHP4
chr1	6053574	6053798	225	*	X00471	261734	5922870	6052533	129664	-	1040	upstream	1040	NPHP4
chr1	6053702	6053798	97	*	X00472	261734	5922870	6052533	129664	-	1168	upstream	1168	NPHP4
chr1	6054159	6054263	105	*	X00473	261734	5922870	6052533	129664	-	1625	upstream	1625	NPHP4
chr1	6054159	6054263	105	*	X00474	261734	5922870	6052533	129664	-	1625	upstream	1625	NPHP4
chr1	6265074	6265193	120	*	X00496	388591	6266189	6281359	15171	+	995	upstream	995	RNF207
chr1	6302400	6302577	178	*	X00502	390992	6304252	6305638	1387	+	1674	upstream	1674	HES3
chr1	6302400	6302438	39	*	X00503	390992	6304252	6305638	1387	+	1813	upstream	1813	HES3
chr1	6302835	6302924	90	*	X00504	390992	6304252	6305638	1387	+	1327	upstream	1327	HES3
chr1	6321673	6321942	270	*	X00513	387509	6307406	6321035	13630	-	637	upstream	637	GPR153
chr1	6321673	6321781	109	*	X00514	387509	6307406	6321035	13630	-	637	upstream	637	GPR153
chr1	6453935	6453976	42	*	X00545	11332	6324332	6453826	129495	-	108	upstream	108	ACOT7
chr1	6483818	6483982	165	*	X00552	83715	6484848	6521004	36157	+	865	upstream	865	ESPN
chr1	6483902	6483982	81	*	X00553	83715	6484848	6521004	36157	+	865	upstream	865	ESPN
chr1	6484067	6484186	120	*	X00554	83715	6484848	6521004	36157	+	661	upstream	661	ESPN
chr1	6484067	6484186	120	*	X00555	83715	6484848	6521004	36157	+	661	upstream	661	ESPN
chr1	6484748	6484762	15	*	X00556	83715	6484848	6521004	36157	+	85	upstream	85	ESPN
chr1	6484748	6484762	15	*	X00556	54626	6472498	6484730	12233	-	17	upstream	17	HES2
chr1	6490088	6490267	180	*	X00563	100422975	6489894	6489956	63	-	131	upstream	131	MIR4252
chr1	6844810	6844863	54	*	X00617	23261	6845384	7829766	984383	+	520	upstream	520	CAMTA1
chr1	7830942	7831076	135	*	X00653	9341	7831329	7841492	10164	+	252	upstream	252	VAMP3
chr1	7830942	7831076	135	*	X00654	9341	7831329	7841492	10164	+	252	upstream	252	VAMP3
chr1	7831182	7831241	60	*	X00655	9341	7831329	7841492	10164	+	87	upstream	87	VAMP3
chr1	7843482	7843653	172	*	X00656	8863	7844380	7905237	60858	+	726	upstream	726	PER3
chr1	8087308	8087412	105	*	X00665	54206	8071779	8086393	14615	-	914	upstream	914	ERRFI1
chr1	8087308	8087412	105	*	X00666	54206	8071779	8086393	14615	-	914	upstream	914	ERRFI1
chr1	9189473	9189755	283	*	X00730	80045	9164476	9189229	24754	-	243	upstream	243	GPR157
chr1	9189729	9189755	27	*	X00731	80045	9164476	9189229	24754	-	499	upstream	499	GPR157
chr1	9648594	9648622	29	*	X00769	199953	9648932	9674935	26004	+	309	upstream	309	TMEM201
chr1	9884333	9884375	43	*	X00788	22883	9789079	9884550	95472	-	0	inside	174	CLSTN1
chr1	10056431	10056550	120	*	X00797	116362	10057255	10076078	18824	+	704	upstream	704	RBP7
chr1	10056446	10056550	105	*	X00798	116362	10057255	10076078	18824	+	704	upstream	704	RBP7
chr1	10057136	10057247	112	*	X00799	116362	10057255	10076078	18824	+	7	upstream	7	RBP7
chr1	10534932	10534965	34	*	X00808	5195	10535003	10690815	155813	+	37	upstream	37	PEX14
chr1	10856829	10856911	83	*	X00839	54897	10696666	10856733	160068	-	95	upstream	95	CASZ1
chr1	10857291	10857410	120	*	X00840	54897	10696666	10856733	160068	-	557	upstream	557	CASZ1
chr1	11043683	11043802	120	*	X00867	148345	11006530	11042094	35565	-	1588	upstream	1588	C1orf127
chr1	11072269	11072321	53	*	X00868	23435	11072679	11085549	12871	+	357	upstream	357	TARDBP
chr1	11120850	11120969	120	*	X00871	6723	11114649	11120091	5443	-	758	upstream	758	SRM
chr1	11160022	11160156	135	*	X00872	5394	11126676	11159938	33263	-	83	upstream	83	EXOSC10
chr1	11538823	11538844	22	*	X00875	57540	11539295	11597640	58346	+	450	upstream	450	DISP3
chr1	11713163	11713372	210	*	X00882	93611	11714432	11723384	8953	+	1059	upstream	1059	FBXO44
chr1	11713163	11713277	115	*	X00883	93611	11714432	11723384	8953	+	1154	upstream	1154	FBXO44
chr1	11713578	11713682	105	*	X00884	93611	11714432	11723384	8953	+	749	upstream	749	FBXO44
chr1	11751106	11751240	135	*	X00890	374946	11751781	11780336	28556	+	540	upstream	540	DRAXIN
chr1	11751926	11751975	50	*	X00891	374946	11751781	11780336	28556	+	0	inside	144	DRAXIN
chr1	11751926	11751975	50	*	X00891	10459	11734537	11751678	17142	-	247	upstream	247	MAD2L2
chr1	11752987	11753136	150	*	X00892	10459	11734537	11751678	17142	-	1308	upstream	1308	MAD2L2
chr1	11752987	11753002	16	*	X00893	10459	11734537	11751678	17142	-	1308	upstream	1308	MAD2L2
chr1	11864961	11865080	120	*	X00908	1185	11866153	11903201	37049	+	1072	upstream	1072	CLCN6
chr1	11866515	11866610	96	*	X00909	4524	11845787	11866160	20374	-	354	upstream	354	MTHFR
chr1	12679687	12679806	120	*	X00987	9249	12627939	12677820	49882	-	1866	upstream	1866	DHRS3
chr1	12679687	12679806	120	*	X00988	9249	12627939	12677820	49882	-	1866	upstream	1866	DHRS3
chr1	15478061	15478135	75	*	X01004	55092	15479028	15546974	67947	+	892	upstream	892	TMEM51
chr1	15478601	15478705	105	*	X01005	55092	15479028	15546974	67947	+	322	upstream	322	TMEM51
chr1	15478601	15478705	105	*	X01005	200197	15438311	15478960	40650	-	0	inside	254	TMEM51-AS1
chr1	15478601	15478705	105	*	X01006	55092	15479028	15546974	67947	+	322	upstream	322	TMEM51
chr1	15478601	15478705	105	*	X01006	200197	15438311	15478960	40650	-	0	inside	254	TMEM51-AS1
chr1	15573192	15573311	120	*	X01020	114827	15573768	15726778	153011	+	456	upstream	456	FHAD1
chr1	15573912	15574106	195	*	X01021	114827	15573768	15726778	153011	+	0	inside	143	FHAD1
chr1	15851810	15851944	135	*	X01054	842	15817324	15851285	33962	-	524	upstream	524	CASP9
chr1	15851810	15851944	135	*	X01054	23341	15853352	15918874	65523	+	1407	upstream	1407	DNAJC16
chr1	15851960	15852064	105	*	X01055	842	15817324	15851285	33962	-	674	upstream	674	CASP9
chr1	15851960	15852064	105	*	X01055	23341	15853352	15918874	65523	+	1287	upstream	1287	DNAJC16
chr1	15943360	15943494	135	*	X01056	84301	15943953	15987552	43600	+	458	upstream	458	DDI2
chr1	15943360	15943471	112	*	X01057	84301	15943953	15987552	43600	+	481	upstream	481	DDI2
chr1	16009354	16009374	21	*	X01059	23207	16010827	16061264	50438	+	1452	upstream	1452	PLEKHM2
chr1	16009540	16009917	378	*	X01060	23207	16010827	16061264	50438	+	909	upstream	909	PLEKHM2
chr1	16010110	16010621	512	*	X01061	23207	16010827	16061264	50438	+	205	upstream	205	PLEKHM2
chr1	16062398	16062499	102	*	X01063	284723	16062809	16067884	5076	+	309	upstream	309	SLC25A34
chr1	16068806	16068970	165	*	X01064	388595	16068987	16074292	5306	+	16	upstream	16	TMEM82
chr1	16069001	16069230	230	*	X01065	388595	16068987	16074292	5306	+	0	inside	13	TMEM82
chr1	16082486	16082665	180	*	X01066	54751	16083154	16113084	29931	+	488	upstream	488	FBLIM1
chr1	16176139	16176209	71	*	X01073	729614	16160710	16174642	13933	-	1496	upstream	1496	FLJ37453
chr1	16346247	16346254	8	*	X01084	27129	16340523	16346089	5567	-	157	upstream	157	HSPB7
chr1	16346333	16346435	103	*	X01085	27129	16340523	16346089	5567	-	243	upstream	243	HSPB7
chr1	16353546	16353680	135	*	X01087	1188	16355621	16383821	28201	+	1940	upstream	1940	CLCNKB
chr1	16353733	16353852	120	*	X01088	1188	16355621	16383821	28201	+	1768	upstream	1768	CLCNKB
chr1	16400313	16400402	90	*	X01105	348487	16384264	16400127	15864	-	185	upstream	185	FAM131C
chr1	16539125	16539244	120	*	X01151	128272	16524599	16539104	14506	-	20	upstream	20	ARHGEF19
chr1	16539125	16539244	120	*	X01152	128272	16524599	16539104	14506	-	20	upstream	20	ARHGEF19
chr1	16563796	16563814	19	*	X01158	79363	16558182	16563659	5478	-	136	upstream	136	CPLANE2
chr1	16679678	16679782	105	*	X01159	54455	16576559	16678948	102390	-	729	upstream	729	FBXO42
chr1	16679678	16679782	105	*	X01160	54455	16576559	16678948	102390	-	729	upstream	729	FBXO42
chr1	16766133	16766216	84	*	X01162	55707	16767167	16786584	19418	+	950	upstream	950	NECAP2
chr1	17307797	17307961	165	*	X01184	4237	17300999	17308081	7083	-	0	inside	119	MFAP2
chr1	17307797	17307961	165	*	X01185	4237	17300999	17308081	7083	-	0	inside	119	MFAP2
chr1	17445967	17446071	105	*	X01189	11240	17393256	17445948	52693	-	18	upstream	18	PADI2
chr1	17767158	17767277	120	*	X01215	55920	17733251	17766250	33000	-	907	upstream	907	RCC2
chr1	17767158	17767277	120	*	X01216	55920	17733251	17766250	33000	-	907	upstream	907	RCC2
chr1	18806650	18806739	90	*	X01265	127707	18807424	18812480	5057	+	684	upstream	684	KLHDC7A
chr1	18806650	18806739	90	*	X01266	127707	18807424	18812480	5057	+	684	upstream	684	KLHDC7A
chr1	18807150	18807344	195	*	X01267	127707	18807424	18812480	5057	+	79	upstream	79	KLHDC7A
chr1	18807150	18807344	195	*	X01268	127707	18807424	18812480	5057	+	79	upstream	79	KLHDC7A
chr1	19283807	19283896	90	*	X01298	126917	19230774	19282826	52053	-	980	upstream	980	IFFO2
chr1	19637168	19637287	120	*	X01305	54896	19638740	19658922	20183	+	1452	upstream	1452	SLC66A1
chr1	19637171	19637287	117	*	X01306	54896	19638740	19658922	20183	+	1452	upstream	1452	SLC66A1
chr1	19637976	19638039	64	*	X01307	54896	19638740	19658922	20183	+	700	upstream	700	SLC66A1
chr1	20835526	20835597	72	*	X01352	79594	20825941	20834674	8734	-	851	upstream	851	MUL1
chr1	20913625	20913714	90	*	X01357	978	20915444	20945400	29957	+	1729	upstream	1729	CDA
chr1	20913940	20914029	90	*	X01358	978	20915444	20945400	29957	+	1414	upstream	1414	CDA
chr1	20913940	20913974	35	*	X01359	978	20915444	20945400	29957	+	1469	upstream	1469	CDA
chr1	20914077	20914181	105	*	X01360	978	20915444	20945400	29957	+	1262	upstream	1262	CDA
chr1	20915187	20915351	165	*	X01361	978	20915444	20945400	29957	+	92	upstream	92	CDA
chr1	20915187	20915304	118	*	X01362	978	20915444	20945400	29957	+	139	upstream	139	CDA
chr1	21060438	21060527	90	*	X01376	400745	21046225	21059330	13106	-	1107	upstream	1107	SH2D5
chr1	21060438	21060527	90	*	X01377	400745	21046225	21059330	13106	-	1107	upstream	1107	SH2D5
chr1	21672718	21672807	90	*	X01419	1889	21543740	21672034	128295	-	683	upstream	683	ECE1
chr1	22263353	22263451	99	*	X01470	3339	22148737	22263750	115014	-	0	inside	298	HSPG2
chr1	22470169	22470192	24	*	X01491	54361	22443798	22470385	26588	-	0	inside	192	WNT4
chr1	23036564	23036773	210	*	X01506	2048	23037331	23241823	204493	+	557	upstream	557	EPHB2
chr1	23036834	23036895	62	*	X01507	2048	23037331	23241823	204493	+	435	upstream	435	EPHB2
chr1	23345295	23345444	150	*	X01531	23028	23345941	23410184	64244	+	496	upstream	496	KDM1A
chr1	23521873	23521947	75	*	X01541	3352	23518388	23521222	2835	-	650	upstream	650	HTR1D
chr1	23671711	23671815	105	*	X01545	10236	23636276	23670853	34578	-	857	upstream	857	HNRNPR
chr1	23671880	23671954	75	*	X01546	10236	23636276	23670853	34578	-	1026	upstream	1026	HNRNPR
chr1	23671906	23671954	49	*	X01547	10236	23636276	23670853	34578	-	1052	upstream	1052	HNRNPR
chr1	23693971	23694060	90	*	X01549	148898	23695464	23698330	2867	+	1403	upstream	1403	ZNF436-AS1
chr1	23751209	23751238	30	*	X01553	6920	23707555	23751261	43707	-	0	inside	22	TCEA3
chr1	23810946	23811289	344	*	X01564	55616	23755056	23811057	56002	-	0	overlapStart	0	ASAP3
chr1	23886254	23886403	150	*	X01575	3399	23884421	23886285	1865	-	0	overlapStart	0	ID3
chr1	23886764	23886868	105	*	X01576	3399	23884421	23886285	1865	-	478	upstream	478	ID3
chr1	23886764	23886868	105	*	X01577	3399	23884421	23886285	1865	-	478	upstream	478	ID3
chr1	24105831	24105950	120	*	X01594	100506963	24086872	24104787	17916	-	1043	upstream	1043	ELOA-AS1
chr1	24105831	24105950	120	*	X01595	100506963	24086872	24104787	17916	-	1043	upstream	1043	ELOA-AS1
chr1	24165067	24165201	135	*	X01604	3155	24128367	24165110	36744	-	0	overlapStart	0	HMGCL
chr1	24285739	24285948	210	*	X01610	55629	24286301	24289949	3649	+	352	upstream	352	PNRC2
chr1	24438717	24438791	75	*	X01614	127294	24382531	24438665	56135	-	51	upstream	51	MYOM3
chr1	24469733	24469789	57	*	X01617	58985	24446261	24469775	23515	-	0	overlapStart	0	IL22RA1
chr1	24514565	24514684	120	*	X01621	163702	24480647	24513765	33119	-	799	upstream	799	IFNLR1
chr1	24514565	24514660	96	*	X01622	163702	24480647	24513765	33119	-	799	upstream	799	IFNLR1
chr1	24645553	24645722	170	*	X01646	57822	24645812	24690970	45159	+	89	upstream	89	GRHL3
chr1	24828721	24828808	88	*	X01652	11123	24828841	24863510	34670	+	32	upstream	32	RCAN3
chr1	24828721	24828808	88	*	X01652	100750325	24822823	24828850	6028	-	0	inside	41	RCAN3AS
chr1	24882774	24882953	180	*	X01655	400746	24882567	24935818	53252	+	0	inside	206	NCMAP
chr1	24882797	24882953	157	*	X01656	400746	24882567	24935818	53252	+	0	inside	229	NCMAP
chr1	24968541	24968564	24	*	X01665	10250	24969594	24999772	30179	+	1029	upstream	1029	SRRM1
